,model_type,roi,task,mean_delta_x,ci_lower_95,ci_upper_95,n_subjects,mean_delta_y,p_one_sided,p_fdr,reject_fdr
54,transformer,EBA,normal,0.00010537758322189117,-0.002213768707588315,0.0030964234727434794,8,0.00010537755,0.48195180481951805,0.9517048295170483,False
55,transformer,EBA,seg,-0.006729080603448526,-0.015448840335011482,-0.00020501988656179525,8,-0.0067290803,0.9517048295170483,0.9517048295170483,False
56,transformer,FBA_1,depth,-0.011275200358663496,-0.031047917902469635,0.000322350999340415,5,-0.0112752,0.8378162183781622,0.8439156084391561,False
57,transformer,FBA_1,general_pose,0.0031315984990745393,-0.0017613740637898445,0.00802457146346569,5,0.0031315982,0.18398160183981602,0.7359264073592641,False
58,transformer,FBA_1,normal,-0.006920834926685315,-0.017187442630529404,0.0001340822345810011,5,-0.0069208345,0.8439156084391561,0.8439156084391561,False
59,transformer,FBA_1,seg,-0.0021706796661655316,-0.006805888842791319,0.0002650703776453148,5,-0.0021706796,0.5949405059494051,0.8439156084391561,False
60,transformer,FBA_2,depth,-0.000918162968559225,-0.007030511740595102,0.00394853949546814,7,-0.0009181631,0.585941405859414,0.781255207812552,False
61,transformer,FBA_2,general_pose,0.0022663100006016074,-0.0042104836553335185,0.011184814386069775,7,0.0022663102,0.3795620437956204,0.7591240875912408,False
62,transformer,FBA_2,normal,0.0005865643090478624,-0.0011879891477292403,0.0029423084284644534,7,0.00058656436,0.3725627437256274,0.7591240875912408,False
63,transformer,FBA_2,seg,-0.003602342197562328,-0.008538611233234406,0.0002889655879698694,7,-0.0036023422,0.8659134086591341,0.8659134086591341,False
64,transformer,FFA_1,depth,-0.0035580664486852404,-0.009072561422362924,0.0012085348134860396,8,-0.0035580664,0.8587141285871412,1.0,False
65,transformer,FFA_1,general_pose,0.0033611625608247903,-0.000493736527278088,0.00754669428570196,8,0.0033611627,0.12358764123587641,0.49435056494350565,False
66,transformer,FFA_1,normal,-0.003749608907815505,-0.006093897856771946,-0.0019755084067583084,8,-0.003749609,1.0,1.0,False
67,transformer,FFA_1,seg,-0.0015716360538584329,-0.005902152613271028,0.0013001279759919254,8,-0.0015716361,0.6624337566243376,1.0,False
68,transformer,FFA_2,depth,-0.00424985286325273,-0.006951376702636481,-0.001767363864928484,7,-0.0042498526,0.9845015498450155,0.9853014698530147,False
69,transformer,FFA_2,general_pose,-0.00023867591830869665,-0.0026192369987256825,0.002292606281116605,7,-0.00023867596,0.5420457954204579,0.9853014698530147,False
70,transformer,FFA_2,normal,-0.003674080712594674,-0.006334112025797367,-0.0013561091618612409,7,-0.0036740808,0.9853014698530147,0.9853014698530147,False
71,transformer,FFA_2,seg,-0.0007680577858880021,-0.004476572980638594,0.0019769088830798864,7,-0.0007680577,0.5813418658134186,0.9853014698530147,False
72,transformer,OFA,depth,-0.0038775367348874434,-0.005362666328437626,-0.002408387587638572,8,-0.0038775369,1.0,1.0,False
73,transformer,OFA,general_pose,0.004332204379057819,0.0008031307952478528,0.008790279738605022,8,0.004332205,0.025297470252974703,0.050594940505949405,False
74,transformer,OFA,normal,0.007050144256431773,0.002169919828884304,0.012286697002127766,8,0.007050144,0.019198080191980802,0.050594940505949405,False
75,transformer,OFA,seg,-0.0038270521208357278,-0.005226487433537841,-0.0023492181499022995,8,-0.0038270522,1.0,1.0,False
76,transformer,V1d,depth,-0.00898102485719729,-0.022900579497218132,-0.0008245482036727488,8,-0.008981025,0.9729027097290271,0.9729027097290271,False
77,transformer,V1d,general_pose,-0.0002788451200103903,-0.0010081594809889793,0.0004607150411175098,8,-0.0002788451,0.7586241375862414,0.9729027097290271,False
78,transformer,V1d,normal,-0.008059189247220655,-0.02045801472850144,-0.0006368734786519818,8,-0.008059189,0.9678032196780322,0.9729027097290271,False
79,transformer,V1d,seg,-0.0014177871127118574,-0.0040956981712952254,0.0009444892057217658,8,-0.001417787,0.8131186881311869,0.9729027097290271,False
80,transformer,V1v,depth,-0.013053592669619363,-0.03676126152276993,-7.339859439525753e-05,8,-0.013053592,0.9439056094390561,0.9439056094390561,False
81,transformer,V1v,general_pose,8.480293191581723e-05,-0.002452381420880556,0.0027457088639494007,8,8.4802974e-05,0.43555644435556445,0.8711128887111289,False
82,transformer,V1v,normal,-0.011551267444682184,-0.03209706014022231,-0.00012271582600078713,8,-0.011551267,0.938006199380062,0.9439056094390561,False
83,transformer,V1v,seg,0.002765646952401571,-0.00048460328252986073,0.0072130910120904446,8,0.0027656471,0.1292870712928707,0.5171482851714828,False
84,transformer,V2d,depth,0.0021650737078427323,-0.0016129997093230486,0.005800135433673859,8,0.0021650738,0.14038596140385962,0.3157684231576842,False
85,transformer,V2d,general_pose,0.0003531860586066665,-0.0013773897604551165,0.0020154555677436292,8,0.0003531861,0.35876412358764126,0.47835216478352166,False
86,transformer,V2d,normal,0.002148961854135531,-0.0018280282383784652,0.005855693260673433,8,0.0021489619,0.1578842115788421,0.3157684231576842,False
87,transformer,V2d,seg,-0.0011062376472092267,-0.005235216929577291,0.002241301338654008,8,-0.0011062378,0.7242275772422758,0.7242275772422758,False
88,transformer,V2v,depth,-0.025883065639564704,-0.07375348284840584,0.0009220336331054547,8,-0.025883066,0.8849115088491151,0.8902109789021098,False
